slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
blockdaemon-mainnet-free-full-archive,,!offer:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/protocols/polygon)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-growth-full-archive,,!offer:blockdaemon-growth-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-starter-full-archive,,!offer:blockdaemon-starter-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-amoy-basic-full-archive,,!offer:blockeden-basic-full-archive,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-amoy-basic-recent-state,,!offer:blockeden-basic-recent-state,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-amoy-enterprise-50-full-archive,,!offer:blockeden-enterprise-50-full-archive,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-amoy-enterprise-50-recent-state,,!offer:blockeden-enterprise-50-recent-state,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-amoy-enterprise-500-full-archive,,!offer:blockeden-enterprise-500-full-archive,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-amoy-enterprise-500-recent-state,,!offer:blockeden-enterprise-500-recent-state,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-amoy-free-full-archive,,!offer:blockeden-free-full-archive,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-amoy-free-recent-state,,!offer:blockeden-free-recent-state,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-amoy-pro-full-archive,,!offer:blockeden-pro-full-archive,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-amoy-pro-recent-state,,!offer:blockeden-pro-recent-state,,,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-full-archive,,!offer:blockeden-basic-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-recent-state,,!offer:blockeden-basic-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-full-archive,,!offer:blockeden-enterprise-50-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-recent-state,,!offer:blockeden-enterprise-50-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-full-archive,,!offer:blockeden-enterprise-500-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-recent-state,,!offer:blockeden-enterprise-500-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-free-full-archive,,!offer:blockeden-free-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-free-recent-state,,!offer:blockeden-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-full-archive,,!offer:blockeden-pro-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-recent-state,,!offer:blockeden-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-amoy-elementary-full-archive,,!offer:blockpi-elementary-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockpi-amoy-elementary-recent-state,,!offer:blockpi-elementary-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
blockpi-amoy-free-full-archive,,!offer:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/polygon/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,amoy,,,,,,,,,,,,,,,,,,,
